Name,PROVINCE,DISTRICT,COSTITUENCY,DIVISION,LOCATION,SUBLOCATIO,Level,Status,Sponsor,Longitude,Latitude,# Classrooms
ST. JOSEPH THE ARTISAN ISIOLO YOUTH POLYTECHNIC,EASTERN,ISIOLO,ISIOLO NORTH,CENTRAL - ISIOLO,ISIOLO EAST,KIWANJANI,YOUTH POLYTECHNIC,PRIVATE,RELIGIOUS ORGANIZATION,37.58002,0.34263,0
ST. JOSEPH THE WOKER SEC SCH,EASTERN,EMBU,MANYATTA,MANYATTA,NGINDA,MBUVORI,SECONDARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,37.46120,-0.36451,4
ST. JOSEPH ULANDA ECD,NYANZA,SIAYA,UGENYA,UGUNJA,NORTH UHOLO,ASANGO EAST,ECD/PRE-PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,34.36585,0.22452,1
ST. JOSEPH ULANDA PRIMARY,NYANZA,SIAYA,UGENYA,UGUNJA,NORTH UHOLO,ASANGO EAST,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,34.36585,0.22452,8
ST. JOSEPH'S  SCHOOL RAPOGI,NYANZA,MIGORI,URIRI,URIRI,NORTH KANYAMKAGO,KATIENO I,SECONDARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,34.47116,-0.90745,17
ST. JOSEPH'S ACADEMY NURSERY SCH,EASTERN,MERU NORTH,,IGEMBE S/WEST,NDUGUTO,AMUNJU,,,,37.94442,0.15699,0
ST. JOSEPH'S ACADEMY PRI,CENTRAL,MARAGUA,MARAGWA,MARAGUA,ICHAGAKI,KIANJIRUINI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,37.11545,-0.81109,7
ST. JOSEPH'S ACADEMY PRY SCH,EASTERN,MERU NORTH,IGEMBE,IGEMBE S/WEST,NDUGUTO,AMUNJU,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,37.94442,0.15699,4
"ST. JOSEPH'S ACADEMY, KAIMONI",EASTERN,MAKUENI,KAITI,KAITI,KILALA,KAUMONI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,37.57370,-1.73552,7
ST. JOSEPHS ADULT,EASTERN,EMBU,RUNYENJES,NEMBURE,MAKENGI,KEVOTE,NON FORMAL SCHOOL/NON FORMAL EDUCATION CENTRE,PUBLIC,CENTRAL GOVERNMENT/DEB,37.51849,-0.43056,1
ST. JOSEPH'S BOYS SEC SCH,RIFT VALLEY,TRANS NZOIA,SAMBURU WEST,CENTRAL - TRANS NZOIA,WAITALUK,KAPKOI SISAL,SECONDARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,34.97387,0.98220,
ST. JOSEPH'S CHAKOL SEC SCH,WESTERN,TESO,AMAGORO,CHAKOL,OKAME,ADUNGOSI,SECONDARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,34.15603,0.52111,8
ST. JOSEPH'S ECD,RIFT VALLEY,TRANS NZOIA,SABOTI,CENTRAL - TRANS NZOIA,WAITALUK,SIRENDE,ECD/PRE-PRIMARY SCHOOL,PUBLIC,COMMUNITY,35.07263,0.98059,
ST. JOSEPH'S ECD,RIFT VALLEY,TRANS NZOIA,SABOTI,CENTRAL - TRANS NZOIA,MUNICIPALITY,GRASSLAND,ECD/PRE-PRIMARY SCHOOL,PUBLIC,COMMUNITY,34.98268,0.98049,
ST. JOSEPH'S ECD,RIFT VALLEY,NAKURU,MOLO,ELBURGON,ELBURGON,ARIMI,ECD/PRE-PRIMARY SCHOOL,PUBLIC,COMMUNITY,35.81663,-0.26838,
